4 435 4 353 2 150 2 150 4 595 3 404 4 10 11 13 254 1073 1345 1509 4 8 10 11 254 794 973 1082
3 319 3 240 4 254 4 254 2 240 1 105 4 5 6 6 403 605 672 713 4 5 6 6 292 358 380 394
9 1493 8 3293 6 403 4 328 8 2100 7 5947 7 18 22 24 740 3704 4692 5285 7 16 19 21 403 9274 12230 14005
18 2685 35 34314 21 2811 20 5734 11 1964 45 58113 26 30 31 32 3805 4930 5305 5530 23 84 104 116 15188 96094 123063 139244
21 3737 41 37684 26 3805 23 15188 10 2166 43 56417 26 30 31 32 5681 6000 6107 6171 33 88 106 117 15426 96189 123110 139263
24 4133 22 10246 26 4077 25 12964 12 2543 10 5385 28 37 40 41 6214 6919 7154 7295 31 32 32 32 15062 15280 15353 15396
20 2868 15 7300 19 1645 14 6276 14 2604 11 5865 28 37 40 41 4077 6064 6726 7124 25 28 29 30 12964 14222 14642 14894
17 1958 12 6595 19 1645 14 6276 10 1295 9 5906 28 29 29 29 2641 3502 3789 3962 22 23 24 24 12964 13335 13459 13533
28 2257 30 28341 27 1915 22 13583 19 1431 23 27177 30 49 55 59 2641 3885 4300 4549 55 58 59 59 55364 62036 64260 65594
31 2836 36 37172 31 1915 36 39040 18 1872 21 23341 36 51 56 59 4715 5073 5192 5264 55 58 59 59 55364 62036 64260 65594
35 4197 34 29322 31 4715 30 24974 14 1916 13 16138 36 51 56 59 5312 6270 6590 6782 36 50 55 58 39040 48834 52099 54058
57 7210 64 65214 31 6910 30 24974 38 3430 49 61780 101 105 106 107 9479 11097 11637 11961 110 126 132 135 106635 142991 155110 162381
95 12231 129 144352 105 10639 119 148565 36 5155 74 86547 108 124 130 133 12177 18040 19995 21168 138 208 231 245 167229 236553 259660 273525
128 13850 186 213096 126 12177 204 245534 25 4136 61 72318 136 158 165 170 13162 18434 20192 21246 245 251 253 254 281979 282453 282611 282705
132 11496 194 224238 126 11326 204 245534 40 4072 89 97124 173 178 180 181 13162 15746 16608 17125 245 295 312 322 281979 328644 344199 353532
101 9732 174 196777 81 6824 119 138129 47 4800 96 105618 126 159 170 177 13162 15746 16608 17125 245 295 312 322 281979 328644 344199 353532
123 12695 166 179073 149 14338 119 138129 51 5187 87 95033 161 173 177 180 17470 18101 18311 18437 186 271 300 317 184350 289593 324674 345722
109 10439 142 160623 138 8597 119 138129 49 5237 42 53378 149 156 158 160 14338 16848 17685 18187 186 194 197 198 184350 224301 237618 245609
99 9133 161 183287 87 8597 186 184350 42 5235 49 68089 138 151 156 159 10052 15134 16828 17844 200 209 212 213 250936 257951 260290 261693
72 7260 116 128501 58 6748 96 85673 23 2838 50 70290 87 102 107 110 10052 10625 10816 10930 108 172 193 206 135230 211669 237149 252437
73 8147 77 73711 66 6811 81 83292 22 1983 14 19286 87 102 107 110 10052 10625 10816 10930 84 91 93 95 85673 87000 87442 87708
80 9453 79 73523 66 6811 77 85102 34 5728 28 19464 112 122 126 128 11007 16309 18076 19137 81 111 120 127 85673 87000 87442 87708
54 6717 58 53333 44 3488 57 72930 42 6761 44 35805 66 104 117 124 6117 14353 17098 18745 77 109 120 126 85102 86771 87328 87662
39 5838 37 24003 24 3135 26 14165 46 7083 48 31336 31 90 110 122 3856 13448 16646 18564 28 89 110 122 18518 58468 71785 79775
43 6611 36 23871 31 3856 28 14165 37 5988 34 24723 66 88 96 100 10269 14052 15312 16069 57 78 85 89 37339 54305 59961 63354
93 11727 108 90797 104 13614 92 65617 40 4424 65 66523 120 134 139 142 14323 15673 16123 16393 160 186 195 200 149621 172196 179721 184236
86 9680 114 106890 104 13614 93 104621 48 6463 62 57128 120 134 139 142 14323 15673 16123 16393 160 186 195 200 149621 172196 179721 184236
39 3770 66 65073 11 572 24 27349 44 5416 75 71562 57 94 107 114 3476 9984 12153 13455 93 159 181 195 104621 154196 170721 180636
6 510 8 6858 7 416 3 1489 3 397 8 10365 8 9 10 10 572 966 1098 1177 9 18 20 22 4663 18274 22811 25534
14 971 12 13703 7 527 3 645 17 980 18 26125 10 33 41 45 1230 2152 2460 2644 5 32 40 46 1489 40163 53054 60789
28 1539 31 36938 10 527 7 352 26 1395 34 47835 49 61 65 67 2768 3298 3475 3581 50 75 83 88 65946 97154 107557 113798
29 1947 34 37762 20 2582 20 4432 25 1341 33 47229 49 61 65 67 2768 3298 3475 3581 50 75 83 88 65946 97154 107557 113798
9 814 8 1155 8 468 7 352 5 888 6 1648 9 15 17 19 480 1741 2161 2413 10 16 18 19 660 2923 3677 4130
