15 1518 14 5759 0 0 0 0 19 2114 18 7189 26 39 44 47 2207 4114 4750 5131 25 37 41 44 12205 14837 15715 16241 1 3 0 1 3 0 1 3 0 1 3 0 1 2 0 1 2 0 1 2 0 1 2 0
8 1146 13 10159 0 0 0 0 10 1533 17 13350 21 21 21 21 1894 3061 3449 3683 26 36 39 41 17749 26928 29988 31824 1 3 0 1 3 0 1 3 0 1 3 0 1 2 0 1 2 0 1 2 0 1 2 0
11 1832 25 20915 13 1894 26 17749 9 1578 14 14043 21 21 21 21 3302 3624 3731 3796 34 39 41 42 33048 36943 38241 39020 1 1 0 1 1 0 1 1 0 1 1 0 1 4 0 1 4 0 1 4 0 1 4 0
8 1186 21 17996 4 570 22 14239 7 1248 16 15803 13 17 19 20 1894 2738 3020 3189 34 39 41 42 33048 36943 38241 39020 0 0 0 0 0 0 0 0 0 0 0 0 1 5 0 1 5 0 1 5 0 1 5 0
6 1246 8 4923 4 570 5 3113 5 1330 8 5356 13 13 13 13 2322 2910 3106 3223 14 18 20 21 7227 11434 12836 13678 1 1 0 1 1 0 1 1 0 1 1 0 2 2 1 2 2 1 2 2 1 2 2 1
9 1399 9 4681 12 1532 11 5813 7 1230 8 4077 14 17 18 19 2322 2790 2946 3039 14 18 20 21 7227 9088 9708 10080 1 1 0 1 1 0 1 1 0 1 1 0 2 2 1 2 2 1 2 2 1 2 2 1
12 2893 13 6797 12 2634 12 6093 4 1116 4 1964 14 17 18 19 3102 4167 4522 4735 14 18 20 21 7227 9088 9708 10080 0 0 0 0 0 0 0 0 0 0 0 0 1 5 0 1 5 0 1 5 0 1 5 0
7 2122 8 4189 6 2634 10 4524 7 1888 8 3912 11 16 18 19 3102 4167 4522 4735 12 18 20 21 6093 8634 9481 9990 1 2 0 1 2 0 1 2 0 1 2 0 1 3 0 1 3 0 1 3 0 1 3 0
2 983 2 1226 0 0 0 0 4 1947 4 2433 1 7 8 10 40 2942 3910 4490 1 7 9 11 40 3671 4882 5608 1 3 0 1 3 0 1 3 0 1 3 0 2 1 0 2 1 0 2 1 0 2 1 0
7 2486 25 25300 0 0 0 0 14 4953 49 50580 1 22 29 34 40 7452 9923 11405 1 75 100 115 40 75892 101175 116346 2 1 0 2 1 0 2 1 0 2 1 0 2 1 0 2 1 0 2 1 0 2 1 0
